feature_name
ADJ ADJ
ADJ ADJ ADJ
ADJ ADJ NOUN
ADJ ADJ VERB
ADJ ADP
ADJ ADP DET
ADJ ADP NOUN
ADJ ADP VERB
ADJ ADV
ADJ ADV ADV
ADJ AUX
ADJ CCONJ
ADJ CCONJ ADV
ADJ CCONJ NOUN
ADJ CCONJ PROPN
ADJ CCONJ VERB
ADJ NOUN
ADJ NOUN ADJ
ADJ NOUN ADP
ADJ NOUN ADV
ADJ NOUN CCONJ
ADJ NOUN NOUN
ADJ NOUN NUM
ADJ NOUN PART
ADJ NOUN PROPN
ADJ NOUN VERB
ADJ NUM
ADJ NUM NOUN
ADJ NUM PART
ADJ PART
ADJ PART VERB
ADJ PROPN
ADJ PROPN NOUN
ADJ PROPN PROPN
ADJ SCONJ
ADJ SCONJ ADJ
ADJ VERB
ADJ VERB ADV
ADJ VERB NOUN
ADJ VERB VERB
ADP ADJ
ADP ADJ NOUN
ADP ADJ NUM
ADP ADP
ADP ADP DET
ADP ADP NOUN
ADP ADP PROPN
ADP ADV
ADP AUX
ADP AUX ADJ
ADP DET
ADP DET ADJ
ADP DET NOUN
ADP INTJ
ADP INTJ NOUN
ADP NOUN
ADP NOUN ADJ
ADP NOUN ADP
ADP NOUN CCONJ
ADP NOUN NOUN
ADP NOUN NUM
ADP NOUN PROPN
ADP NOUN VERB
ADP NUM
ADP NUM ADP
ADP NUM NOUN
ADP NUM SCONJ
ADP PRON
ADP PRON ADJ
ADP PRON ADP
ADP PRON NOUN
ADP PRON PART
ADP PRON PROPN
ADP PRON VERB
ADP PROPN
ADP PROPN ADP
ADP PROPN NOUN
ADP PROPN PART
ADP PROPN PROPN
ADP VERB
ADP VERB ADJ
ADP VERB ADP
ADP VERB ADV
ADP VERB DET
ADV ADJ
ADV ADJ ADP
ADV ADJ ADV
ADV ADJ NOUN
ADV ADJ PROPN
ADV ADP
ADV ADP AUX
ADV ADP DET
ADV ADP NOUN
ADV ADV
ADV ADV ADJ
ADV ADV ADP
ADV ADV AUX
ADV ADV DET
ADV AUX
ADV AUX DET
ADV AUX VERB
ADV DET
ADV DET NOUN
ADV NOUN
ADV NOUN ADP
ADV NOUN NOUN
ADV NOUN VERB
ADV NUM
ADV NUM ADJ
ADV NUM NOUN
ADV NUM PART
ADV PRON
ADV PRON VERB
ADV VERB
ADV VERB ADJ
ADV VERB ADP
ADV VERB ADV
ADV VERB NOUN
ADV VERB PROPN
AUX ADJ
AUX ADJ PART
AUX ADP
AUX ADP DET
AUX ADP PRON
AUX ADV
AUX ADV ADJ
AUX ADV ADV
AUX ADV AUX
AUX ADV NOUN
AUX ADV VERB
AUX AUX
AUX AUX VERB
AUX DET
AUX DET ADJ
AUX DET NOUN
AUX DET NUM
AUX NOUN
AUX NOUN PART
AUX NOUN VERB
AUX PART
AUX PART VERB
AUX PRON
AUX PRON ADP
AUX PRON AUX
AUX PRON NOUN
AUX PRON VERB
AUX PROPN
AUX VERB
AUX VERB ADP
AUX VERB ADV
AUX VERB AUX
AUX VERB DET
AUX VERB PART
AUX VERB PRON
CCONJ ADJ
CCONJ ADJ AUX
CCONJ ADJ CCONJ
CCONJ ADJ NOUN
CCONJ ADJ VERB
CCONJ ADP
CCONJ ADP DET
CCONJ ADV
CCONJ ADV NOUN
CCONJ ADV NUM
CCONJ AUX
CCONJ AUX PART
CCONJ DET
CCONJ DET ADV
CCONJ NOUN
CCONJ NOUN AUX
CCONJ NOUN NOUN
CCONJ NOUN VERB
CCONJ NUM
CCONJ NUM NOUN
CCONJ PART
CCONJ PART VERB
CCONJ PRON
CCONJ PRON NOUN
CCONJ PROPN
CCONJ PROPN NOUN
CCONJ PROPN PROPN
CCONJ PROPN VERB
CCONJ VERB
CCONJ VERB NOUN
CCONJ VERB PRON
DET ADJ
DET ADJ NOUN
DET ADJ NUM
DET ADV
DET ADV ADJ
DET ADV VERB
DET NOUN
DET NOUN ADJ
DET NOUN ADP
DET NOUN ADV
DET NOUN AUX
DET NOUN DET
DET NOUN NOUN
DET NOUN PRON
DET NOUN PROPN
DET NOUN VERB
DET NUM
DET NUM NOUN
DET PRON
DET PRON ADJ
DET VERB
DET VERB NUM
INTJ ADV
INTJ INTJ
INTJ NOUN
INTJ NOUN VERB
INTJ PART
INTJ PART SCONJ
INTJ PRON
INTJ PRON AUX
INTJ VERB
INTJ VERB PRON
NOUN ADJ
NOUN ADJ ADP
NOUN ADJ ADV
NOUN ADJ CCONJ
NOUN ADJ NOUN
NOUN ADJ PART
NOUN ADP
NOUN ADP ADJ
NOUN ADP ADV
NOUN ADP DET
NOUN ADP INTJ
NOUN ADP NOUN
NOUN ADP PRON
NOUN ADP PROPN
NOUN ADP VERB
NOUN ADV
NOUN ADV NOUN
NOUN ADV VERB
NOUN AUX
NOUN AUX ADJ
NOUN AUX ADP
NOUN AUX ADV
NOUN AUX AUX
NOUN AUX DET
NOUN AUX PART
NOUN AUX PRON
NOUN AUX VERB
NOUN CCONJ
NOUN CCONJ ADJ
NOUN CCONJ ADP
NOUN CCONJ NOUN
NOUN CCONJ NUM
NOUN CCONJ PART
NOUN CCONJ PRON
NOUN CCONJ VERB
NOUN DET
NOUN DET ADJ
NOUN DET NOUN
NOUN INTJ
NOUN NOUN
NOUN NOUN ADJ
NOUN NOUN ADP
NOUN NOUN ADV
NOUN NOUN AUX
NOUN NOUN CCONJ
NOUN NOUN DET
NOUN NOUN NOUN
NOUN NOUN PART
NOUN NOUN VERB
NOUN NUM
NOUN NUM ADJ
NOUN NUM NOUN
NOUN PART
NOUN PART ADJ
NOUN PART NOUN
NOUN PART VERB
NOUN PRON
NOUN PRON AUX
NOUN PRON NUM
NOUN PRON VERB
NOUN PROPN
NOUN PROPN ADJ
NOUN PROPN AUX
NOUN PROPN NOUN
NOUN PROPN PART
NOUN PROPN VERB
NOUN SYM
NOUN SYM NOUN
NOUN VERB
NOUN VERB ADJ
NOUN VERB ADP
NOUN VERB ADV
NOUN VERB CCONJ
NOUN VERB DET
NOUN VERB INTJ
NOUN VERB NOUN
NOUN VERB PART
NOUN VERB PRON
NOUN VERB PROPN
NOUN VERB SCONJ
NOUN VERB VERB
NUM ADJ
NUM ADJ ADP
NUM ADJ NOUN
NUM ADP
NUM ADP NUM
NUM NOUN
NUM NOUN ADJ
NUM NOUN ADP
NUM NOUN ADV
NUM NOUN AUX
NUM NOUN NOUN
NUM NOUN VERB
NUM NUM
NUM NUM ADJ
NUM NUM NOUN
NUM NUM PART
NUM PART
NUM PART ADJ
NUM PART NOUN
NUM PART NUM
NUM SCONJ
NUM SCONJ DET
NUM VERB
NUM VERB NUM
PART ADJ
PART ADJ NOUN
PART ADV
PART ADV ADJ
PART AUX
PART AUX PRON
PART NOUN
PART NOUN NOUN
PART NOUN VERB
PART NUM
PART NUM NUM
PART PRON
PART SCONJ
PART SCONJ PRON
PART VERB
PART VERB ADJ
PART VERB ADP
PART VERB DET
PART VERB NOUN
PART VERB PRON
PART VERB SCONJ
PART VERB VERB
PRON ADJ
PRON ADJ NOUN
PRON ADP
PRON ADP ADP
PRON ADP DET
PRON ADP PRON
PRON ADV
PRON ADV VERB
PRON AUX
PRON AUX ADJ
PRON AUX ADP
PRON AUX ADV
PRON AUX AUX
PRON AUX DET
PRON AUX NOUN
PRON AUX PART
PRON AUX PRON
PRON AUX PROPN
PRON AUX VERB
PRON DET
PRON DET NOUN
PRON NOUN
PRON NOUN ADP
PRON NOUN ADV
PRON NOUN AUX
PRON NOUN VERB
PRON NUM
PRON PART
PRON PART ADJ
PRON PART VERB
PRON PRON
PRON PRON ADV
PRON PRON AUX
PRON PRON VERB
PRON PROPN
PRON VERB
PRON VERB ADJ
PRON VERB ADP
PRON VERB ADV
PRON VERB DET
PRON VERB NUM
PRON VERB PART
