coarse_template,count
NOUN,2739
VERB,1461
PROPN,790
ADJ + NOUN,748
NOUN + VERB,717
NOUN + NOUN,604
PROPN + NOUN,274
PROPN + PROPN,261
ADJ,226
NOUN + CCONJ + NOUN,183
VERB + NOUN,177
PRON + VERB,164
PROPN + VERB,93
ADJ + ADJ + NOUN,78
ADJ + NOUN + NOUN,77
ADJ + NOUN + VERB,60
NOUN + NOUN + VERB,58
VERB + ADP + ADJ + NOUN,51
NOUN + NOUN + NOUN,49
VERB + VERB,47
PRON,46
VERB + ADJ + NOUN,37
ADV,37
VERB + ADV,35
PROPN + NOUN + NOUN,33
VERB + CCONJ + NOUN,29
NUM,28
NOUN + VERB + ADP + ADJ + NOUN,21
NUM + NOUN,20
PROPN + PROPN + NOUN,19
VERB + NOUN + VERB,19
NOUN + NUM,19
ADP + NOUN,18
VERB + NOUN + NOUN,17
NOUN + VERB + NOUN,16
NOUN + VERB + ADV,14
INTJ,14
VERB + ADP + NOUN,14
INTJ + INTJ + INTJ + INTJ + INTJ,14
VERB + ADJ,13
NOUN + NOUN + NOUN + VERB,12
DET + NOUN,10
PROPN + ADJ + NOUN,10
VERB + CCONJ + VERB,10
ADP,9
NOUN + NOUN + ADV,9
NOUN + NOUN + CCONJ + NOUN,8
ADP + DET + ADJ,8
NOUN + ADV,8
PROPN + VERB + ADP + ADJ + NOUN,8
NUM + NUM,8
ADJ + ADJ + NOUN + NOUN,7
PROPN + CCONJ + PROPN + NOUN,7
ADP + NUM + NOUN,7
NOUN + NOUN + ADP + NOUN,7
NOUN + VERB + ADP + NOUN,7
VERB + ADP,7
PROPN + NOUN + VERB,7
PROPN + CCONJ + PROPN,7
ADJ + VERB,6
ADP + DET + NOUN,6
X + X + X,6
NOUN + VERB + CCONJ + VERB,6
VERB + NOUN + ADP + NOUN,6
ADV + ADV,6
DET + ADJ + NOUN,6
ADV + VERB,6
NOUN + CCONJ + VERB,6
NOUN + ADV + VERB,6
ADJ + NOUN + NOUN + NOUN,6
INTJ + INTJ,6
NOUN + ADP + NOUN,5
ADP + ADJ + NOUN,5
PROPN + PROPN + PROPN,5
PROPN + PROPN + VERB,5
PROPN + CCONJ + NOUN + NOUN,4
ADJ + NOUN + NOUN + VERB,4
PROPN + VERB + ADV,4
X + NOUN,4
NOUN + VERB + ADJ,4
ADJ + PROPN + NOUN,4
,4
VERB + ADP + PROPN,4
NOUN + ADJ + NOUN,3
VERB + DET + NOUN,3
VERB + NUM,3
VERB + PRON + ADP,3
PROPN + VERB + NOUN,3
ADV + ADJ,3
NOUN + VERB + NOUN + VERB,3
NOUN + VERB + VERB,3
ADJ + ADJ + VERB,3
PRON + AUX + DET + NOUN,3
NOUN + ADP + ADJ + NOUN,3
ADJ + NOUN + ADP + NOUN,3
ADJ + VERB + NOUN,3
NOUN + ADJ + NOUN + NOUN,3
PROPN + VERB + ADJ + NOUN,3
ADP + ADJ,3
ADP + PROPN + PROPN,3
PROPN + VERB + VERB,3
ADP + NOUN + NOUN + VERB,3
PROPN + PART + ADJ + NOUN,3
PRON + VERB + PRON,3
ADJ + ADP + NOUN + NOUN + NOUN,3
PRON + VERB + VERB,3
ADJ + ADJ + ADJ + NOUN + NOUN,3
NOUN + PROPN + ADJ,3
NOUN + CCONJ + NOUN + NOUN,2
NOUN + CCONJ + ADJ + NOUN,2
NOUN + PROPN + NOUN,2
VERB + PROPN,2
VERB + NOUN + ADV,2
VERB + VERB + ADV,2
NOUN + AUX + VERB,2
ADJ + ADJ + NOUN + VERB,2
VERB + CCONJ + PROPN + VERB,2
ADP + DET + ADJ + NOUN,2
NOUN + ADP,2
ADJ + ADJ,2
DET + ADV + ADJ + NOUN,2
PROPN + VERB + DET + NOUN,2
NOUN + AUX + ADV + VERB,2
PRON + VERB + PART + VERB + DET + NOUN + ADV + DET + NOUN + PRON + VERB,2
PRON + VERB + NUM + ADP + PRON,2
PRON + VERB + ADV + ADJ,2
DET + NOUN + VERB,2
ADP + PROPN,2
VERB + ADP + ADJ,2
ADV + ADJ + NOUN,2
ADJ + ADJ + ADJ + NOUN,2
ADP + VERB + ADJ + NOUN,2
PRON + VERB + ADV,2
PRON + VERB + ADJ + NOUN,2
ADV + NOUN,2
NOUN + VERB + ADP + DET + NOUN,2
NOUN + VERB + ADP,2
VERB + ADP + PROPN + PROPN + NOUN,2
X,2
VERB + PRON + ADP + DET + ADJ,2
VERB + NOUN + CCONJ + VERB,2
DET + NOUN + VERB + INTJ,2
NOUN + NOUN + VERB + ADV,2
INTJ + NOUN + VERB,2
X + ADJ + ADJ + NOUN + NOUN + AUX,2
NOUN + CCONJ + NOUN + VERB,2
VERB + ADP + PROPN + NOUN,2
NOUN + ADP + PRON,2
PROPN + NOUN + ADV,2
ADJ + NOUN + CCONJ + NOUN + NOUN,2
ADJ + NOUN + ADJ,2
PROPN + NOUN + NOUN + VERB,2
VERB + AUX,2
PROPN + CCONJ + PROPN + VERB,2
PRON + AUX + DET + ADJ + NOUN,2
DET + ADJ + DET + ADJ + NOUN,2
ADJ + ADJ + PROPN,2
PROPN + ADV + VERB,2
PROPN + PROPN + NOUN + VERB,2
NOUN + ADJ,2
PRON + PRON + VERB,2
PROPN + NOUN + NOUN + NOUN + VERB,1
PROPN + CCONJ + ADJ + VERB,1
PROPN + CCONJ + ADJ + NOUN,1
ADJ + CCONJ + PROPN + PROPN,1
PROPN + AUX + PRON + VERB,1
PROPN + PRON + VERB + PRON + VERB + NUM,1
PROPN + INTJ + INTJ + PRON + AUX + VERB,1
PROPN + NUM,1
PROPN + PRON + VERB,1
PROPN + INTJ + PRON + AUX + PRON + ADV + AUX + PART + VERB + PRON,1
PRON + AUX + DET + NOUN + ADP + VERB + ADP + DET + NOUN,1
VERB + PROPN + NUM,1
NOUN + NUM + NOUN,1
VERB + VERB + ADP + NOUN,1
ADV + NOUN + VERB,1
NOUN + ADP + DET + ADJ,1
VERB + ADP + NUM + NOUN,1
NOUN + VERB + PART + VERB,1
ADJ + NOUN + NUM + ADJ,1
DET + NOUN + NOUN + AUX + ADP + DET + NOUN,1
VERB + PRON + ADP + DET + NOUN,1
PROPN + PROPN + AUX + VERB + DET + NOUN + NOUN,1
VERB + ADP + PRON + PART + VERB,1
PRON + VERB + ADP + DET + NOUN + VERB,1
INTJ + VERB + PRON + VERB,1
VERB + ADV + ADP + DET + NOUN,1
PRON + AUX + PRON + NOUN,1
SCONJ + PRON + VERB + ADP + NOUN + NOUN + PART + NOUN,1
VERB + NOUN + CCONJ + ADP + DET + NOUN,1
NOUN + ADJ + CCONJ + NOUN,1
PROPN + NOUN + ADJ,1
ADP + PROPN + NOUN,1
NOUN + VERB + DET + NOUN,1
NOUN + NOUN + AUX + VERB,1
DET + ADJ + NUM,1
NOUN + ADP + ADV,1
NOUN + ADP + ADJ + NUM + PART + NOUN,1
NOUN + PRON,1
ADV + NUM + PART + ADJ + NOUN,1
DET + NOUN + AUX + VERB,1
AUX + PRON + VERB,1
PRON + AUX + DET + NOUN + ADP + NOUN + PROPN,1
ADV + ADP + NOUN + ADP + PROPN + PART + NOUN,1
CCONJ + ADJ + CCONJ + NOUN,1
NUM + NOUN + ADV,1
NOUN + ADJ + ADP + NOUN,1
ADP + PRON + ADP + PRON,1
PRON + AUX + VERB,1
PRON + PRON + AUX + VERB + AUX + NOUN,1
NOUN + VERB + ADP + PRON + NOUN,1
DET + NOUN + PRON + AUX + PART + VERB + SCONJ + PART + VERB,1
PROPN + NOUN + VERB + DET + ADJ + NOUN,1
PROPN + VERB + ADP + ADP + DET + ADJ + NOUN,1
NOUN + PROPN + PART + NOUN + NOUN + AUX + ADV,1
DET + ADJ + NOUN + ADP + NOUN + VERB + ADV + ADV,1
SCONJ + PRON + VERB + PRON + NOUN,1
PROPN + ADV + VERB + ADJ,1
VERB + INTJ,1
VERB + PRON + ADP + ADP + PROPN,1
PRON + ADV + ADP + PRON,1
PART + PRON,1
NOUN + INTJ,1
PROPN + NOUN + NOUN + NOUN,1
VERB + DET + ADJ + NOUN,1
ADV + ADP + NOUN,1
ADV + NUM + NOUN + ADJ + CCONJ + ADV + NUM + NOUN + AUX + AUX + VERB,1
VERB + NOUN + ADP + NOUN + NOUN,1
PROPN + PROPN + PROPN + NOUN + NOUN,1
CCONJ + DET + ADV + VERB + NOUN + ADP + NOUN,1
PROPN + PROPN + PROPN + PROPN,1
PROPN + ADJ,1
PRON + AUX + ADJ,1
ADJ + VERB + VERB,1
ADV + ADJ + NOUN + NOUN,1
PROPN + NOUN + ADP + NOUN,1
PRON + VERB + VERB + ADV + NOUN,1
VERB + ADV + ADV,1
DET + NOUN + NOUN + ADV,1
NUM + NUM + NOUN,1
ADJ + NOUN + PART + NOUN,1
ADJ + NOUN + PART + NOUN + VERB,1
X + X + PROPN + PROPN,1
X + PROPN,1
VERB + PRON + DET + NOUN,1
VERB + CCONJ + VERB + NOUN,1
DET + NOUN + VERB + DET + VERB + NUM + NUM + PART + NUM + NUM + ADJ + NOUN + VERB + ADP + NUM + NOUN + ADJ + NOUN,1
NOUN + ADP + NOUN + ADJ + NOUN + CCONJ + NOUN + AUX + DET + NOUN + ADP + PRON + VERB + ADP + ADJ + NOUN,1
DET + PRON + ADJ + NOUN + NOUN,1
PROPN + VERB + NOUN + ADP + PROPN + ADP + NUM + SCONJ + DET + NOUN + NOUN + ADP + DET + ADJ + NOUN + VERB + PRON + NOUN + ADP + PRON + NOUN,1
PART,1
PART + VERB + DET + NOUN,1
X + ADP + PROPN,1
VERB + NOUN + VERB + NOUN,1
PRON + ADJ + NOUN,1
ADJ + SCONJ + ADJ + SCONJ,1
VERB + VERB + PRON + ADP + DET + ADJ,1
PRON + VERB + PART + VERB + DET + NOUN + ADP + VERB + ADV,1
CCONJ + VERB,1
PRON + AUX + VERB + ADP + PROPN + PROPN,1
NOUN + ADP + NOUN + VERB + NOUN,1
PROPN + PRON + VERB + DET + NOUN + NOUN,1
PROPN + PRON + VERB + PRON + VERB + ADJ,1
PROPN + PRON + ADJ,1
PROPN + ADV + ADJ,1
NOUN + VERB + SCONJ + VERB,1
NOUN + NOUN + VERB + PRON + NOUN,1
PRON + VERB + PART + AUX + PRON,1
NOUN + ADP + DET + NOUN,1
PRON + AUX + PROPN,1
NOUN + ADP + DET + ADJ + NOUN,1
NOUN + NOUN + VERB + VERB,1
DET + NOUN + ADP + NOUN + CCONJ + PRON + NOUN,1
DET + ADJ + NOUN + ADP,1
PART + ADV + ADJ + PROPN + PROPN + CCONJ + PRON + NOUN,1
ADV + ADJ + ADV + ADV + ADJ + NOUN + NOUN + CCONJ + VERB,1
ADJ + NOUN + VERB + ADP + DET + NOUN + NOUN,1
PROPN + NOUN + VERB + ADP + DET + ADJ + NOUN,1
PROPN + VERB + DET + ADJ + NOUN + ADP + DET + ADJ,1
VERB + VERB + DET + NOUN + ADP + NOUN,1
VERB + VERB + NOUN + PART + VERB + VERB,1
VERB + ADP + DET + ADJ + NOUN + ADP + PRON + ADJ + NOUN,1
