fine_template,count
NN,2174
VBG,1172
NNP,790
JJ + NN,709
NNS,566
NN + NN,391
NN + VBG,375
NNP + NNP,261
JJ,226
NN + NNS,200
NN + VBZ,176
VB,171
NNS + VBG,164
NNP + NN,155
NNS + CC + NN,155
NNP + NNS,119
VBZ,83
DT + VBG,78
JJ + JJ + NN,77
VBG + NN,72
JJ + NN + NN,57
VBG + IN + JJ + NN,46
DT,45
NNP + VBZ,45
NNP + VBG,42
JJ + NNS,39
JJ + NN + VBZ,36
RB,36
NNS + VBP,36
VBG + NNS,35
VBG + CC + NN,29
NNP + NN + NN,29
CD,28
NN + NN + VBG,26
VBD,25
VBG + RB,25
NN + CC + NN,23
NN + NN + NNS,22
DT + VBP,22
NN + NN + NN,21
JJ + NN + VBG,21
PRP + VBP,21
VBZ + NN,20
VBN + NN,19
NN + CD,19
JJ + NN + NNS,18
VB + VBG,18
IN + NN,18
VBG + JJ + NN,17
VB + NNS,17
CD + NN,15
VBZ + VBG,14
UH,14
UH + UH + UH + UH + UH,14
NNP + NNP + NN,13
VBG + NN + VBZ,13
NN + NNS + VBG,12
NN + NN + VBZ,11
VBG + VBG,11
NN + NN + NN + VBZ,11
VB + JJ + NN,10
DT + NN,10
VBG + CC + VBG,10
VB + NN,9
VBG + JJ,9
IN,9
VBZ + RB,8
IN + DT + JJ,8
NNS + RB,8
NNP + JJ + NN,8
NN + VBZ + IN + JJ + NN,8
CD + CD,8
VBZ + JJ + NN,7
NNS + NN,7
VBG + NN + NN,7
IN + CD + NN,7
NNP + VBZ + IN + JJ + NN,7
NNP + CC + NNP,7
NN + NN + RB,7
IN + DT + NN,6
ADD + ADD + ADD,6
NNP + NNP + NNS,6
NN + VBG + RB,6
DT + JJ + NN,6
NNS + NNS,6
NN + CC + VBG,6
VBG + IN + NN,6
NNS + VBP + IN + JJ + NN,6
VBN,6
VBG + IN + NNS,6
NNP + CC + NNP + NN,6
PRP + VBZ,6
UH + UH,6
JJ + VBG,5
NN + VBZ + RB,5
JJ + JJ + NN + NN,5
VBZ + IN + JJ + NN,5
NN + VBG + CC + VBG,5
RB + RB,5
IN + JJ + NN,5
NN + NNS + IN + NN,5
NN + NNS + NN,5
NNP + NNP + NNP,5
CD + NNS,5
NNP + NNP + VBZ,5
NNP + NN + VBZ,5
NNS + VBG + IN + JJ + NN,5
NNP + CC + NN + NNS,4
NN + VBG + NN,4
NN + CC + NNS,4
NN + IN + NN,4
NN + NNS + VBD,4
VBP,4
NNP + NN + NNS,4
VBZ + NNS,4
NN + RB + VBG,4
JJ + NNP + NN,4
JJ + NN + NN + NN,4
,4
NNP + VB,4
VBG + IN + NNP,4
NN + JJ + NN,3
VBG + NN + NNS,3
VB + CD,3
VB + PRP + RP,3
NNP + VBZ + NN,3
RB + JJ,3
NN + VBZ + NN,3
VB + NN + NN,3
NNS + VBG + IN + NN,3
VBZ + NN + IN + NN,3
VBZ + JJ,3
RB + VBN,3
NN + VBZ + JJ,3
JJ + VBN + NN,3
NNP + VBZ + JJ + NN,3
VBN + NN + NN,3
IN + JJ,3
RB + VBG,3
IN + NNP + NNP,3
IN + NN + NN + VBZ,3
FW + NN,3
NN + VBG + IN + NN,3
NNP + POS + JJ + NN,3
JJ + RP + NN + NN + NN,3
DT + VBG + VBG,3
JJ + JJ + JJ + NN + NN,3
NN + NNS + CC + NNS,3
NN + NNP + JJ,3
JJ + JJ + NN + NNS,2
NN + NNP + NN,2
VB + DT + NN,2
JJ + NN + NN + VBG,2
NNS + VBN + NN + VBZ,2
NNS + VBP + VBG,2
NNS + VBG + VBG,2
NNP + VBG + RB,2
VB + CC + NNP + VBG,2
NN + NN + IN + NN,2
VB + RP,2
WP + VBZ + DT + NN,2
IN + DT + JJ + NN,2
NNS + IN,2
JJ + JJ,2
DT + RB + JJ + NN,2
NNP + VBZ + DT + NN,2
VBG + VBZ,2
PRP + VBP + TO + VB + DT + NN + RB + DT + NN + PRP + VBP,2
PRP + VBP + CD + IN + PRP,2
PRP + VBZ + RB + JJ,2
IN + NNP,2
NN + JJ + NN + NN,2
JJ + JJ + JJ + NN,2
DT + VBG + JJ + NNS,2
VBG + NN + IN + NN,2
RB + NN,2
NN + RB + VBZ,2
JJ + NNS + VBG,2
NN + VBD + NN,2
VB + RB,2
NN + VBN + NN,2
VBN + IN + NNP + NNP + NN,2
VB + PRP + IN + DT + JJ,2
JJ + NN + IN + NN,2
NNS + VBG + NNS,2
JJ + JJ + VBG,2
DT + NNS + VBP + UH,2
NN + NN + VBG + RB,2
UH + NN + VBZ,2
VBZ + IN,2
FW + JJ + JJ + NN + NN + JJS,2
NNS + VBZ,2
NNP + JJ + NNS,2
NN + NNS + VBZ,2
JJ + NNS + NN + NNS,2
NNS + VBG + RB,2
NNS + IN + JJ + NN,2
VBN + RP,2
NNP + VBZ + VBG,2
NNP + NNS + RB,2
JJ + NN + CC + NN + NN,2
JJ + NN + NN + VBZ,2
JJ + NN + JJ,2
NN + NNS + VBP,2
NNP + NN + NN + VBZ,2
VBG + VBD,2
NNP + CC + NNP + VBG,2
PRP + VBZ + DT + JJS + NN,2
DT + JJS + DT + JJS + NN,2
JJ + JJ + NNP,2
PRP + VBP + PRP,2
NNP + NNP + NN + VBZ,2
NNS + JJR,2
NN + NN + CC + NNS,2
PRP + DT + VBP,2
NNS + CC + NN + NNS,1
NN + NNS + CC + NN,1
NNP + NN + NN + NN + VBG,1
NN + CC + JJ + NN,1
NNP + CC + JJ + VBG,1
NNP + CC + JJ + NNS,1
NNP + CC + NNP + NNS,1
JJ + CC + NNP + NNPS,1
NNP + VB + PRP + VB,1
NNP + PRP + VBD + PRP + VBD + CD,1
NNP + UH + UH + PRP + VBZ + VBG,1
NNP + CD,1
NNP + PRP + VBD,1
NNP + UH + PRP + VBZ + PRP + RB + MD + RB + VB + PRP,1
PRP + VBZ + DT + NN + IN + VBG + IN + DT + NN,1
VBG + NNP + CD,1
NN + CD + NN,1
VBD + VBN + IN + NN,1
VBD + NNP,1
RB + NNS + VBZ,1
VBG + DT + NN,1
NN + VBP + NN,1
NNS + IN + DT + JJ,1
VBZ + IN + CD + NN,1
VBN + JJ + NN,1
VB + NNS + RB,1
NNP + VBP + RB,1
NNS + VBP + RB,1
NN + VBZ + TO + VB,1
NNS + VBD,1
VB + VBZ + RB,1
LS + NN,1
JJ + NN + CD + JJ,1
DT + NN + NN + VBZ + IN + DT + NN,1
VBG + PRP + IN + DT + NN,1
VBG + VBN,1
NNP + NNP + VBZ + VBG + DT + NN + NN,1
VBG + IN + NN + TO + VB,1
NN + VBD + IN + DT + NN + VBG,1
UH + VB + PRP + VB,1
VBG + RB + IN + DT + NN,1
PRP + VBD + PRP$ + NN,1
