video_id,start_time,end_time,video_link,caption,general_nsi,music_nsi,environmental_nsi,extraspeech_nsi,additionalnarrative_nsi,quotedspeech_nsi,misc_nsi,nonenglish_captions,nsi_text,coarse_template,fine_template
__5k7e0f3r4,187.562,190.312,https://www.youtube.com/watch?v=__5k7e0f3r4&t=187,(cheerful music),1,1,0,0,0,0,0,0,cheerful music,ADJ + NOUN,JJ + NN
__5k7e0f3r4,0.09,2.18,https://www.youtube.com/watch?v=__5k7e0f3r4&t=0,- [Narrator] What I like about Baklava is,1,0,0,1,0,0,0,0,Narrator,NOUN,NN
__5k7e0f3r4,186.146,187.562,https://www.youtube.com/watch?v=__5k7e0f3r4&t=186,"- [Man] Oh, yes!",1,0,0,1,0,0,0,0,Man,NOUN,NN
_2MaGgf1jhI,0,2.826,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=0,[MUSIC PLAYING],1,1,0,0,0,0,0,0,MUSIC PLAYING,NOUN + VERB,NN + VBG
_2MaGgf1jhI,447.93,450.98,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=447,[MUSIC PLAYING],1,1,0,0,0,0,0,0,MUSIC PLAYING,NOUN + VERB,NN + VBG
_2MaGgf1jhI,26.13,28.11,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=26,"[LAUGHS] Well, I mean,",1,0,1,0,0,0,0,0,LAUGHS,NOUN,NNS
_2MaGgf1jhI,114.09,114.395,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=114,[LAUGHS],1,0,1,0,0,0,0,0,LAUGHS,NOUN,NNS
_2MaGgf1jhI,133.005,133.805,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=133,[INAUDIBLE],1,0,1,0,0,0,0,0,INAUDIBLE,PROPN,NNP
_2MaGgf1jhI,159.83,160.63,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=159,That's [INAUDIBLE],1,0,1,0,0,0,0,0,INAUDIBLE,PROPN,NNP
_2MaGgf1jhI,224.37,224.655,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=224,[LAUGHS],1,0,1,0,0,0,0,0,LAUGHS,NOUN,NNS
_2MaGgf1jhI,248.14,248.94,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=248,[LAUGHS],1,0,1,0,0,0,0,0,LAUGHS,NOUN,NNS
_2MaGgf1jhI,441.91,442.71,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=441,[LAUGHS] Absolutely.,1,0,1,0,0,0,0,0,LAUGHS,NOUN,NNS
_2MaGgf1jhI,444.95,445.23,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=444,[LAUGHS],1,0,1,0,0,0,0,0,LAUGHS,NOUN,NNS
_2X5dMD6rMU,940.84,947.16,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=940,If we start off with... (incomprehensible noise),1,0,1,0,0,0,0,0,incomprehensible noise,PROPN + NOUN,NNP + NN
_FydAuj2_Ow,79.82,81.38,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=79,(montage music),1,1,0,0,0,0,0,0,montage music,NOUN + NOUN,NN + NN
_FydAuj2_Ow,0.4,2.24,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=0,(military drums),1,0,1,0,0,0,0,0,military drums,ADJ + NOUN,JJ + NNS
_FydAuj2_Ow,43.56,44.52,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=43,(both),1,0,0,0,0,0,1,0,both,PRON,DT
_FydAuj2_Ow,81.82,83.3,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=81,(train whistle),1,0,1,0,0,0,0,0,train whistle,VERB + NOUN,VB + NN
_FydAuj2_Ow,86.78,89.86,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=86,(sirens and fire noises),1,0,1,0,0,0,0,0,sirens and fire noises,NOUN + CCONJ + NOUN + NOUN,NNS + CC + NN + NNS
_FydAuj2_Ow,94.24,97.24,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=94,(horns honking),1,0,1,0,0,0,0,0,horns honking,NOUN + VERB,NNS + VBG
_FydAuj2_Ow,98.38,101.08,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=98,(boat sounds),1,0,1,0,0,0,0,0,boat sounds,NOUN + VERB,NN + VBZ
_FydAuj2_Ow,115.28,117.12,https://www.youtube.com/watch?v=_FydAuj2_Ow&t=115,(cell phone ringing),1,0,1,0,0,0,0,0,cell phone ringing,NOUN + NOUN + NOUN,NN + NN + NN
_GWZm0Vx9PU,0.684,3.58,https://www.youtube.com/watch?v=_GWZm0Vx9PU&t=0,(upbeat music),1,1,0,0,0,0,0,0,upbeat music,ADJ + NOUN,JJ + NN
_Hk0xb7bO2c,7.651,10.318,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=7,(hip hop music),1,1,0,0,0,0,0,0,hip hop music,NOUN + NOUN + NOUN,NN + NN + NN
_Hk0xb7bO2c,426.263,427.228,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=426,(hip hop music),1,1,0,0,0,0,0,0,hip hop music,NOUN + NOUN + NOUN,NN + NN + NN
_Hk0xb7bO2c,35.24,37.971,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=35,(audience applauding),1,0,1,0,0,0,0,0,audience applauding,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,43.682,45.212,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=43,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,53.197,54.87,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=53,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,106.492,107.563,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=106,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,154.11,155.076,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=154,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,160.78,161.872,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=160,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,199.053,200.532,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=199,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,252.37,253.203,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=252,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,317.314,318.617,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=317,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,334.598,335.547,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=334,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,338.367,339.354,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=338,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
_Hk0xb7bO2c,404.239,405.68,https://www.youtube.com/watch?v=_Hk0xb7bO2c&t=404,(audience laughing),1,0,1,0,0,0,0,0,audience laughing,NOUN + VERB,NN + VBG
