coarse_template,frequency,template_length
NOUN,2739,1
VERB,1461,1
PROPN,790,1
ADJ + NOUN,748,2
NOUN + VERB,717,2
NOUN + NOUN,604,2
PROPN + NOUN,274,2
PROPN + PROPN,261,2
ADJ,214,1
NOUN + CCONJ + NOUN,183,3
VERB + NOUN,177,2
PRON + VERB,164,2
PROPN + VERB,93,2
ADJ + ADJ + NOUN,78,3
ADJ + NOUN + NOUN,77,3
ADJ + NOUN + VERB,60,3
NOUN + NOUN + VERB,58,3
VERB + ADP + ADJ + NOUN,51,4
NOUN + NOUN + NOUN,49,3
VERB + VERB,47,2
PRON,46,1
VERB + ADJ + NOUN,37,3
ADV,37,1
VERB + ADV,35,2
PROPN + NOUN + NOUN,33,3
VERB + CCONJ + NOUN,29,3
NUM,28,1
NOUN + VERB + ADP + ADJ + NOUN,21,5
NUM + NOUN,20,2
PROPN + PROPN + NOUN,19,3
VERB + NOUN + VERB,19,3
NOUN + NUM,19,2
ADP + NOUN,18,2
VERB + NOUN + NOUN,17,3
NOUN + VERB + NOUN,16,3
NOUN + VERB + ADV,14,3
VERB + ADP + NOUN,14,3
VERB + ADJ,13,2
NOUN + NOUN + NOUN + VERB,12,4
DET + NOUN,10,2
PROPN + ADJ + NOUN,10,3
VERB + CCONJ + VERB,10,3
INTJ,9,1
ADP,9,1
NOUN + NOUN + ADV,9,3
NOUN + NOUN + CCONJ + NOUN,8,4
ADP + DET + ADJ,8,3
NOUN + ADV,8,2
PROPN + VERB + ADP + ADJ + NOUN,8,5
NUM + NUM,8,2
ADJ + ADJ + NOUN + NOUN,7,4
PROPN + CCONJ + PROPN + NOUN,7,4
ADP + NUM + NOUN,7,3
NOUN + NOUN + ADP + NOUN,7,4
NOUN + VERB + ADP + NOUN,7,4
VERB + ADP,7,2
PROPN + NOUN + VERB,7,3
PROPN + CCONJ + PROPN,7,3
ADJ + VERB,6,2
ADP + DET + NOUN,6,3
X + X + X,6,3
NOUN + VERB + CCONJ + VERB,6,4
VERB + NOUN + ADP + NOUN,6,4
DET + ADJ + NOUN,6,3
ADV + VERB,6,2
NOUN + CCONJ + VERB,6,3
NOUN + ADV + VERB,6,3
ADJ + NOUN + NOUN + NOUN,6,4
NOUN + ADP + NOUN,5,3
ADV + ADV,5,2
ADP + ADJ + NOUN,5,3
PROPN + PROPN + PROPN,5,3
PROPN + PROPN + VERB,5,3
PROPN + CCONJ + NOUN + NOUN,4,4
ADJ + NOUN + NOUN + VERB,4,4
PROPN + VERB + ADV,4,3
X + NOUN,4,2
NOUN + VERB + ADJ,4,3
ADJ + PROPN + NOUN,4,3
VERB + ADP + PROPN,4,3
NOUN + ADJ + NOUN,3,3
VERB + DET + NOUN,3,3
VERB + NUM,3,2
VERB + PRON + ADP,3,3
PROPN + VERB + NOUN,3,3
ADV + ADJ,3,2
NOUN + VERB + NOUN + VERB,3,4
NOUN + VERB + VERB,3,3
ADJ + ADJ + VERB,3,3
PRON + AUX + DET + NOUN,3,4
NOUN + ADP + ADJ + NOUN,3,4
